random_seed,training_ratio,epochs,batch_size,N,scaling,sae_hidden_layers,SAE_ACTIVATION,SAE_BIAS,SAE_OPTIMIZER,SAE_LOSS,classifier_hidden_layers,CLASSIFIER_ACTIVATION,CLASSIFIER_BIAS,CLASSIFIER_OPTIMIZER,CLASSIFIER_LOSS,dropout,acc_bld,acc_flr,acc_bf,loc_failure,mean_pos_err,mean_pos_err_weighted
0,0.9,20,10,8,0.2,"[512, 64, 128, 128]",relu,FALSE,adam,mse,"[64, 128]",relu,FALSE,adam,binary_crossentropy,0.2,0.99909991,0.906390639,0.906390639,0,9.955170705,9.625740814
0,0.9,20,10,8,0.2,"[512, 64, 128, 256]",relu,FALSE,adam,mse,"[64, 128]",relu,FALSE,adam,binary_crossentropy,0.2,0.98919892,0.936093609,0.930693069,0.010638298,10.41821826,10.13278933
0,0.9,20,10,8,0.2,"[512, 64, 128, 512]",relu,FALSE,adam,mse,"[64, 128]",relu,FALSE,adam,binary_crossentropy,0.2,0.99639964,0.916291629,0.913591359,0,9.803132338,9.571100943
0,0.9,20,10,8,0.2,"[512, 64, 256, 64]",relu,FALSE,adam,mse,"[64, 128]",relu,FALSE,adam,binary_crossentropy,0.2,0.99819982,0.918091809,0.916291629,0.006876228,10.08876904,9.945544765
0,0.9,20,10,8,0.2,"[512, 64, 256, 128]",relu,FALSE,adam,mse,"[64, 128]",relu,FALSE,adam,binary_crossentropy,0.2,0.99639964,0.903690369,0.901890189,0,9.614755652,9.323847777
0,0.9,20,10,8,0.2,"[512, 64, 256, 256]",relu,FALSE,adam,mse,"[64, 128]",relu,FALSE,adam,binary_crossentropy,0.2,0.99909991,0.903690369,0.902790279,0.000997009,10.04349304,9.822857504
0,0.9,20,10,8,0.2,"[512, 64, 256, 512]",relu,FALSE,adam,mse,"[64, 128]",relu,FALSE,adam,binary_crossentropy,0.2,0.99819982,0.913591359,0.911791179,0.000987167,9.929555913,9.62152758
0,0.9,20,10,8,0.2,"[512, 64, 512, 64]",relu,FALSE,adam,mse,"[64, 128]",relu,FALSE,adam,binary_crossentropy,0.2,0.99549955,0.909090909,0.907290729,0,9.988246545,9.756695284
0,0.9,20,10,8,0.2,"[512, 64, 512, 128]",relu,FALSE,adam,mse,"[64, 128]",relu,FALSE,adam,binary_crossentropy,0.2,0.99639964,0.900990099,0.900090009,0.001,9.624763023,9.296605266
0,0.9,20,10,8,0.2,"[512, 64, 512, 256]",relu,FALSE,adam,mse,"[64, 128]",relu,FALSE,adam,binary_crossentropy,0.2,0.99459946,0.901890189,0.897389739,0,10.25062469,9.939555746
0,0.9,20,10,8,0.2,"[512, 64, 512, 512]",relu,FALSE,adam,mse,"[64, 128]",relu,FALSE,adam,binary_crossentropy,0.2,0.99009901,0.907290729,0.898289829,0.001002004,9.796456042,9.564041197
0,0.9,20,10,8,0.2,"[512, 128, 64, 64]",relu,FALSE,adam,mse,"[64, 128]",relu,FALSE,adam,binary_crossentropy,0.2,0.99639964,0.906390639,0.905490549,0,9.992216969,9.734297197
